type,asin,item_url,img_url,color,price,list_price,title,category
1,B06W9DXSMD,https://www.amazon.in/Red-Tape-Brown-Leather-Casual/dp/B06W9DXSMD/ref=sr_1_10576?s=shoes&ie=UTF8&qid=1530342084&sr=1-10576,https://images-eu.ssl-images-amazon.com/images/I/411nMoEdXUL.jpg,Brown,1677,3995,Red Tape Men's Brown Leather Casual Shoes - 6 UK/India (40 EU),fw
4,B01LZZIE2E,https://www.amazon.in/Auserio-Mens-Black-Loafers-Moccasins/dp/B01LZZIE2E/ref=sr_1_15523?s=shoes&ie=UTF8&qid=1530342251&sr=1-15523,https://images-eu.ssl-images-amazon.com/images/I/41rCt2UyePL.jpg,Black,499,499,Auserio Men's Loafers and Moccasins,fw
6,B073B1B3HH,https://www.amazon.in/Apex-08-Gumboot-Shoes/dp/B073B1B3HH/ref=sr_1_2117?s=shoes&ie=UTF8&qid=1530341811&sr=1-2117,https://images-eu.ssl-images-amazon.com/images/I/31fwsMi9rxL.jpg,Black,880,880,'Apex Gumboot Shoes,fw
2,B078SPV13Z,https://www.amazon.in/Deekada-Sneakers-Casuals-Canvas-Shoes/dp/B078SPV13Z/ref=sr_1_14066?s=shoes&ie=UTF8&qid=1530342202&sr=1-14066,https://images-eu.ssl-images-amazon.com/images/I/41s8Q19Qh5L.jpg,Black,500,1299,Deekada Mens Mesh Sneakers/Casual's/Canvas Shoes,fw
2,B00V8NIDJS,https://www.amazon.in/Woodland-Mens-Camel-Leather-Sneakers/dp/B00V8NIDJS/ref=sr_1_7726?s=shoes&ie=UTF8&qid=1530341989&sr=1-7726,https://images-eu.ssl-images-amazon.com/images/I/41e9Jmqx03L.jpg,Camel,3495,3495,Woodland Men's Leather Sneakers,fw
1,B01M13RAVV,https://www.amazon.in/Red-Tape-Brown-Leather-Casual/dp/B01M13RAVV/ref=sr_1_1554?s=shoes&ie=UTF8&qid=1530341794&sr=1-1554,https://images-eu.ssl-images-amazon.com/images/I/41gRXv7URsL.jpg,Cocoa,1852,3495,Red Tape Men's Slip On Leather Casual Shoes,fw
2,B078YRMDYM,https://www.amazon.in/Shoes-Designer-Black-Sneakers-Stylish/dp/B078YRMDYM/ref=sr_1_10114?s=shoes&ie=UTF8&qid=1530342068&sr=1-10114,https://images-eu.ssl-images-amazon.com/images/I/41fCy8QfEHL.jpg,Black,499,499,'Shoes - Birde Designer Shoes for men -Black Sneakers - Stylish casual Shoes for Boys And Men,fw
1,B077YF7KKM,https://www.amazon.in/Lee-Cooper-Leather-Casuals-9108484/dp/B077YF7KKM/ref=sr_1_16279?s=shoes&ie=UTF8&qid=1530342278&sr=1-16279,https://images-eu.ssl-images-amazon.com/images/I/41ucGyZNB-L.jpg,Brown,2899,2899,Lee Cooper Men's Leather Casuals Shoes,fw
1,B00TX454JG,https://www.amazon.in/Sukun-Mens-Blue-Sneakers-PDW_601_BLUE_9/dp/B00TX454JG/ref=sr_1_9830?s=shoes&ie=UTF8&qid=1530342059&sr=1-9830,https://images-eu.ssl-images-amazon.com/images/I/414Sme0XNiL.jpg,Blue,999,999,Sukun Men's Faux Leather Casual Shoe,fw
1,B075F3CV1G,https://www.amazon.in/Duke-Casual-Shoes-1983577031-Coloured/dp/B075F3CV1G/ref=sr_1_8187?s=shoes&ie=UTF8&qid=1530342005&sr=1-8187,https://images-eu.ssl-images-amazon.com/images/I/31Fjmm9gYJL.jpg,White,3895,3895,'Duke Men Casual Shoes,fw
6,B078M1ZWW6,https://www.amazon.in/Kraasa-Mens-Black-Boots-UK/dp/B078M1ZWW6/ref=sr_1_1689?s=shoes&ie=UTF8&qid=1530341798&sr=1-1689,https://images-eu.ssl-images-amazon.com/images/I/51jhveuGgaL.jpg,Black,499,499,Kraasa Men's Boots,fw
2,B072M528JK,https://www.amazon.in/Fentacia-Men-Grey-Sneakers/dp/B072M528JK/ref=sr_1_9661?s=shoes&ie=UTF8&qid=1530342054&sr=1-9661,https://images-eu.ssl-images-amazon.com/images/I/41oiWjw677L.jpg,Grey,499,499,'Fentacia Men Grey Sneakers,fw
4,B078KTN657,https://www.amazon.in/Loafer-loafer-casual-stylish-fashion/dp/B078KTN657/ref=sr_1_16195?s=shoes&ie=UTF8&qid=1530342275&sr=1-16195,https://images-eu.ssl-images-amazon.com/images/I/41A3tzEr5DL.jpg,Blue White,299,299,My Cool Step Men'S Loafer Shoes (D-9) (shoes  loafer shoes  casual shoes  mens shoes  stylish shoes  fashion shoes),fw
1,B01GLOW8RG,https://www.amazon.in/ALESTINO-Black-Loafers-8-India-REDF_TEMP-Casual02-8/dp/B01GLOW8RG/ref=sr_1_9436?s=shoes&ie=UTF8&qid=1530342046&sr=1-9436,https://images-eu.ssl-images-amazon.com/images/I/51lbKePq1VL.jpg,Black,1499,1499,ALESTINO Men's Black Loafers-8 UK/India (42 EU)(REDF_TEMP-Casual02-8),fw
4,B075MFT9FS,https://www.amazon.in/brandvilla-bv-609-Mens-Loafers/dp/B075MFT9FS/ref=sr_1_5884?s=shoes&ie=UTF8&qid=1530341930&sr=1-5884,https://images-eu.ssl-images-amazon.com/images/I/51loVdmFT8L.jpg,Brown,1099,2999,brandvilla Men's Loafers,fw
1,B079KQST6L,https://www.amazon.in/Unique-fashion-KWAZI-casual-shoe/dp/B079KQST6L/ref=sr_1_6549?s=shoes&ie=UTF8&qid=1530341951&sr=1-6549,https://images-eu.ssl-images-amazon.com/images/I/41t5IbHZUKL.jpg,Black,490,999,'Unique fashion KWAZI casual shoe (9),fw
2,B01C8SVMMG,https://www.amazon.in/Nike-Mens-Black-Liteforce-Sneaker/dp/B01C8SVMMG/ref=sr_1_1628?s=shoes&ie=UTF8&qid=1530341796&sr=1-1628,https://images-eu.ssl-images-amazon.com/images/I/41wF%2BYyjvqL.jpg,Black,2999,3695,Nike Men's Liteforce Iii Mid Sneakers,fw
1,B07DP8T673,https://www.amazon.in/SCION-Casual-Canvas-Outdoor-Sneakers/dp/B07DP8T673/ref=sr_1_19024?s=shoes&ie=UTF8&qid=1530342372&sr=1-19024,https://images-eu.ssl-images-amazon.com/images/I/51MozwRYFLL.jpg,Royal Blue,399,499,SCION Men's Casual Canvas New Royal Blue Outdoor Sneakers Casual Shoes,fw
